,EVENT_ID,ORIGIN_TIME,STATION,NETWORK,ELON,ELAT,EDEP,PTIME,STIME,PSTIME,PST_ERR,PS_FREQ,SLON,SLAT,SEVL
2502,2_52312,2010-02-01T20:22:49.419998Z,TNGA,Z1,-177.3144,-20.3421,505.4737,65.58,116.91999816894533,72.03528594970703,0.9869170188903807,9.256327629089355,-175.325104,-21.063499,25.0
2503,2_52312,2010-02-01T20:22:49.760002Z,PNGI,Z1,-177.3144,-20.3421,505.4737,70.24,,78.90896606445312,0.3142292499542236,3.934426784515381,-174.350006,-19.8248,18.0
2504,2_52312,2010-02-01T20:22:49.790001Z,EUAP,Z1,-177.3144,-20.3421,505.4737,68.21,,82.74458312988281,0.5237154364585876,3.9397809505462646,-174.912292,-21.442699,158.0
2505,2_52349,2010-01-20T08:28:42.540001Z,VAVP,Z1,-173.4764,-16.9489,133.6596,32.46,55.04999923706055,41.73060607910156,0.197175920009613,8.800745964050293,-173.961395,-18.601999,65.0
2506,2_52289,2010-03-15T19:37:10.470001Z,FONI,Z1,-177.4284,-20.3426,583.7908,75.53,132.0,83.41352844238281,0.6045059561729431,4.695645809173584,-174.630798,-20.2796,19.0
2507,2_52289,2010-03-15T19:37:09.949997Z,PNGI,Z1,-177.4284,-20.3426,583.7908,77.05,134.91000366210938,85.32159423828125,0.3077470362186432,6.28917932510376,-174.350006,-19.8248,18.0
2508,2_52548,2010-02-15T17:45:21.699997Z,VAVP,Z1,-177.899,-20.2958,522.1038,80.3,146.3699951171875,90.06230926513672,1.0432727336883545,6.180468559265137,-173.961395,-18.601999,65.0
2509,2_52548,2010-02-15T17:45:21.400002Z,A02W,YL,-177.899,-20.2958,522.1038,68.6,,82.09394073486328,0.6181818246841431,2.522656202316284,-175.789993,-21.4895,-2015.0
2510,2_52514,2010-04-01T19:44:36.449997Z,A06W,YL,-177.0165,-19.7051,529.5037,66.55,,86.22576141357422,0.7212121486663818,1.625447154045105,-176.321594,-21.303699,-2137.0
2511,2_52514,2010-04-01T19:44:36.910004Z,TNGA,Z1,-177.0165,-19.7051,529.5037,68.09,123.80999755859376,76.44425201416016,,2.658259868621826,-175.325104,-21.063499,25.0
2512,2_52514,2010-04-01T19:44:36.510002Z,NMKA,Z1,-177.0165,-19.7051,529.5037,68.49,122.37181091308594,79.71726989746094,0.4121212065219879,11.061718940734863,-174.798004,-20.2596,22.0
2513,2_52302,2010-04-04T18:47:17.939999Z,FONI,Z1,-175.6385,-19.7535,226.5878,33.06,57.67000198364258,38.13251495361328,0.3967292606830597,4.635906219482422,-174.630798,-20.2796,19.0
